palette_name,tag,11,12,13,21,22,23,31,32,33
Bluegill,Bluegill,#d3d3d3,#b59a7a,#976020,#a4bdbb,#8c8a6c,#75561c,#74a7a3,#647a5e,#534c19
BlueGold,BlueGold,#d3d3d3,#d8bd75,#dea301,#8fb1c2,#929f6c,#968901,#488fb0,#498062,#4c6e01
BlueOr,BlueOr,#d3d3d3,#7ebbd2,#169dd0,#d8a386,#819185,#167984,#dd6a29,#845e29,#174f28
BlueYl,BlueYl,#d3d3d3,#74b1d6,#0088d9,#d6cb7d,#76ab7e,#008380,#d9be00,#78a000,#007b00
Brown,Brown,#e8e8e8,#cbb8d7,#9972af,#e4d9ac,#c8ada0,#976b82,#c8b35a,#af8e53,#804d36
Brown2,Brown2,#d3d3d3,#af9cb9,#8b689f,#c5bb93,#a38b81,#825c6f,#b6a352,#977948,#78503e
DkBlue,DkBlue,#e8e8e8,#dfb0d6,#be64ac,#ace4e4,#a5add3,#8c62aa,#5ac8c8,#5698b9,#3b4994
DkBlue2,DkBlue2,#d3d3d3,#c098b9,#ad5b9c,#97c5c5,#898ead,#7c5592,#52b6b6,#4a839f,#434e87
DkCyan,DkCyan,#e8e8e8,#b8d6be,#73ae80,#b5c0da,#90b2b3,#5a9178,#6c83b5,#567994,#2a5a5b
DkCyan2,DkCyan2,#d3d3d3,#9eb9a4,#699e74,#9aa5bb,#739091,#4c7c67,#6277a5,#4a6880,#31595b
DkViolet,DkViolet,#cabed0,#89a1c8,#4885c1,#bc7c8f,#806a8a,#435786,#ae3a4e,#77324c,#3f2949
DkViolet2,DkViolet2,#d3d3d3,#8aa6c2,#4279b0,#ba8890,#7a6b84,#3a4e78,#9e3547,#682a41,#311e3b
GrPink,GrPink,#e8e8e8,#b0d5df,#64acbe,#e4acac,#ad9ea5,#627f8c,#c85a5a,#985356,#574249
GrPink2,GrPink2,#d3d3d3,#98b8c0,#5b9cad,#c59595,#8e8288,#556f7a,#b65252,#83474a,#4e3d43
PinkGrn,PinkGrn,#d3d3d3,#ca85af,#bc177d,#90b87e,#8a7469,#80144b,#459b22,#42611c,#3e1114
PurpleGrn,PurpleGrn,#d3d3d3,#a180ac,#6f2d85,#70a985,#55676c,#3b2454,#027a2e,#014a26,#011a1d
PurpleOr,PurpleOr,#d3d3d3,#9283ac,#563787,#d39c75,#926160,#56284b,#d25601,#923601,#551601
